id,titulo,titulos_alternativos,ano_lancamento
210,Ranma ½,"['Ranma ½ Nettou Hen', 'らんま1/2', 'Ranma ½', 'Ranma 1/2']",1989.0
218,Martian Successor Nadesico,"['Kidou Senkan Nadeshiko', '機動戦艦ナデシコ', 'Mobile Battleship Nadesico', 'Martian Successor Nadesico', 'Kidou Senkan Nadesico']",1996.0
222,Mezzo DSA,"['Mezzo Danger Service Agency', 'Mezzo TV Danger Service Agency', 'メゾ', 'Mezzo', 'Mezzo Forte TV', 'Mezzo DSA']",2004.0
223,Dragon Ball,"['Dragonball', 'DB', 'ドラゴンボール', 'Dragon Ball']",1986.0
225,Dragon Ball GT,"['DBGT', 'Dragon Ball GT', 'ドラゴンボールGT', 'Dragonball GT']",1996.0
226,Elfen Lied,"['Elfic Song', 'Elfen Lied', 'エルフェンリート', 'Elfen Song', 'Elf Song']",2004.0
228,Hell Girl,"['Jigoku Shoujo', 'Jigoku Shojo', '地獄少女', 'Hell Girl', 'La Fille des enfers']",2005.0
229,Ninja Nonsense,"['Ninin ga Shinobuden', 'ニニンがシノブ伝', '2 X 2 = The Legend of Shinobu', 'Ninin ga Shinobuden: The Nonsense Kunoichi Fiction', 'Ninja Nonsense', 'Nin x Nin = Shinobuden', '2x2 Shinobuden', '2x2=Shinobuden']",2004.0
230,Air Master,"['Airmaster', 'エアマスター', 'Air Master']",2003.0
231,Shrine of the Morning Mist,"['Shrine Of The Morning Mist', 'Priestesses of the Morning Mist', '朝霧の巫女', 'Asagiri no Miko', 'Maidens of Morning Mist', 'Shrine of the Morning Mist']",2002.0
232,Cardcaptor Sakura,"['CCS', 'カードキャプターさくら', 'Card Captor Sakura', 'Cardcaptors', 'Cardcaptor Sakura']",1998.0
235,Case Closed,"['Detective Conan', 'Meitantei Conan', '名探偵コナン', 'Case Closed']",1996.0
237,Eureka Seven,"['Eureka Seven', '交響詩篇エウレカセブン', 'Psalms of Planets Eureka Seven', 'Koukyoushihen Eureka Seven']",2005.0
238,Flame of Recca,"['Recca no Honoo', 'Flame of Recca', '烈火の炎', 'Rekka no Honoo']",1997.0
239,Gankutsuou: The Count of Monte Cristo,"['Gankutsuou', 'Gankutsuou-Le Comte de Monte-Cristo-', '巌窟王', 'The King of the Cavern', 'Gankutsuou: The Count of Monte Cristo']",2004.0
240,Genshiken,"['The Society for the Study of Modern Visual Culture', 'Genshiken', 'げんしけん']",2004.0
241,Girls Bravo,"['Girls Bravo: First Season', 'Girls Bravo', 'GIRLSブラボー first season']",2004.0
242,The Gokusen,"['ごくせん', 'Gokusen', 'The Gokusen']",2004.0
243,Gravitation,"['Gravitation', 'グラビテーション']",2000.0
244,Agatha Christie's Great Detectives Poirot and Marple,"['アガサ・クリスティーの名探偵ポワロとマープル', ""Agatha Christie's Great Detectives Poirot and Marple"", 'Agatha Christie no Meitantei Poirot to Marple']",2004.0
245,Great Teacher Onizuka,"['Great Teacher Onizuka', 'GTO', 'GTO - The Animation', 'グレート・ティーチャー・オニヅカ']",1999.0
246,Rave Master,"['Rave', 'レイヴ', 'Groove Adventure Rave', 'Rave Master']",2001.0
247,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,"['In a Distant Time', 'Harukanaru Toki no Naka de: Hachiyou Shou', 'Haruka 8', 'Harukanaru Toki no Nakade - Hachiyosho -', 'HaruToki', 'Harukanaru Toki No Naka De: Hachiyou Shou a Tale of the Eight Guardian', '遙かなる時空の中で〜八葉抄〜', 'Haruka naru Toki no Naka de TV', 'Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians']",2004.0
248,Strawberry 100%,"['Strawberry 100%', 'いちご100%', 'Ichigo 100%']",2005.0
